product_id,name,product_added_date,brand,current_vendor,category_name_1,request_path_1,category_name_2,request_path_2,category_name_3,request_path_3,category_name_4,request_path_4,product_url,parent_product_id,current_price,current_cost,current_margin,current_ship_price,msrp,comparable_price,current_inventory,current_status,distinct_users_viewed_30,distinct_users_viewed_60,distinct_users_viewed_90,distinct_users_parent_carted_30,distinct_users_parent_carted_60,distinct_users_parent_carted_90,demand_30_days,demand_90_days,catalog_demand_30_days_rank,catalog_demand_90_days_rank,revenue_30_days,revenue_90_days,catalog_revenue_30_days_rank,catalog_revenue_90_days_rank
289821,Pure Fishing - Deluxe Spin Package,8/10/2018,Pure Fishing,Power Sales,Lifestyle & Recreation,lifestyle-recreation,Recreation,lifestyle-recreation/recreation,Hunting & Fishing,lifestyle-recreation/recreation/hunting-fishing,,,https://app.perpay.com/shop/product/289821,,329.99,168,161.99,29.99,235.05,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
398369,Gibson - Scarlet Leaves 12 pc Dinnerware Set,1/19/2024,Gibson,Megagoods,Kitchen & Dining,kitchen-dining,Dinnerware & Serveware,kitchen-dining/dinnerware-serveware,Dinnerware,kitchen-dining/dinnerware-serveware/dinnerware,Dinnerware Sets,kitchen-dining/dinnerware-serveware/dinnerware/dinnerwaresets,https://app.perpay.com/shop/product/398369,,56.99,24,32.99,20.99,74.99,57.99,130,Enabled,9,22,27,1,2,2,0,0,12403,15107,0,0,8025,10964
169211,Cherokee - Women's V-Neck Top,10/28/2013,Cherokee,Cherokee,Fashion & Beauty,fashion-beauty,Women,fashion-beauty/women,Clothing,fashion-beauty/women/clothing,Hospital Uniforms,fashion-beauty/women/clothing/hospitaluniforms,https://app.perpay.com/shop/product/169211,166481,33.99,13.75,20.24,4.99,30,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
363370,"Pflueger - Supreme Spinning Reel, 35 Size",2/9/2022,Pflueger,Power Sales,Lifestyle & Recreation,lifestyle-recreation,Recreation,lifestyle-recreation/recreation,Hunting & Fishing,lifestyle-recreation/recreation/hunting-fishing,,,https://app.perpay.com/shop/product/363370,,184.99,118.75,66.24,19.99,119.95,,11,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
303800,Roland - Roland FA-06 Music Workstation 61-Key Stage Digital Piano,4/3/2019,Roland,Cascio Music,Lifestyle & Recreation,lifestyle-recreation,Hobbies & Crafts,lifestyle-recreation/hobbies-crafts,Music,lifestyle-recreation/hobbies-crafts/music,,,https://app.perpay.com/shop/product/303800,,1854.99,1103.66,751.33,24.99,1399,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
328275,Crosely - Kaplan Side Table,3/23/2020,Crosley,Crosley,Outdoor Living & Garden,outdoorliving-garden,Outdoor Furniture & Decor,outdoorliving-garden/outdoorfurniture-decor,Outdoor Furniture,outdoorliving-garden/outdoorfurniture-decor/outdoorfurniture,Outdoor Tables,outdoorliving-garden/outdoorfurniture-decor/outdoorfurniture/outdoortables,https://app.perpay.com/shop/product/328275,,179.99,70,109.99,44.99,145,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
370563,Monster - Power Center Vertex XL 10 AC Outlet Surge Protector - Black,5/25/2022,Monster,Power Sales,Electronics,electronics,Personal Audio & Video,electronics/personalaudio-video,Smart Home,electronics/personalaudio-video/smarthome,Accessories,electronics/personalaudio-video/smarthome/accessories,https://app.perpay.com/shop/product/370563,,149.99,77.65,72.34,19.99,149.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
338965,Staub - 4qt Round Cast Iron Cocotte - Turquoise,2/24/2021,Staub,Power Sales,Kitchen & Dining,kitchen-dining,Cookware & Bakeware,kitchen-dining/cookware-bakeware,Pots & Pans,kitchen-dining/cookware-bakeware/pots-pans,,,https://app.perpay.com/shop/product/338965,357707,379.99,172,207.99,19.99,414,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
245254,Heys - EcoOrbis-Lilac-21 Inch Expandable Spinner,4/6/2015,Heys,Heys America Ltd,Lifestyle,lifestyle,Recreation,lifestyle/recreation,Travel,lifestyle/recreation/travel,Luggage,lifestyle/recreation/travel/luggage,https://app.perpay.com/shop/product/245254,245233,139.99,67.5,72.49,24.99,123,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
307539,Midwest - Dog Double Door i-Crate,4/12/2019,Midwest,UTM Distributing,Home,home,Pet,home/pet,Dog,home/pet/dog,Dog Beds & Crates,home/pet/dog/dogbeds-crates,https://app.perpay.com/shop/product/307539,305753,209.99,129.36,80.63,14.99,108.08,,8,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
332977,Pai-Shau - Imperial (Strong) Hold Hairspray - 465ml,9/18/2020,Pai-Shau,Rymax,Beauty,beauty,Hair Care,beauty/haircare,Hair Products,beauty/haircare/hairproducts,,,https://app.perpay.com/shop/product/332977,390200,35.99,16.22,19.77,5.99,29.5,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
285882,Fossil - Jacqueline Three-Hand Date Blush Leather Watch,6/1/2018,Fossil,Fossil Group,Handbags & Jewelry,handbags-jewelry,Watches,handbags-jewelry/watches,Women's,handbags-jewelry/watches/women-s,,,https://app.perpay.com/shop/product/285882,,189.99,74.5,115.49,14.99,149,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
396987,"Smoby Toys SAS - Garden Kitchen - Outdoor Play Set, 43 Accessories",11/7/2023,Smoby Toys SAS,Flat River,Toys & Baby,toys-baby,Toys,toys-baby/toys,Dress Up & Pretend Play,toys-baby/toys/dressup-pretendplay,,,https://app.perpay.com/shop/product/396987,,164.99,99,65.99,14.99,159.99,139.99,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
